voters,alts,dims,scheme,dist_to_mean,mean_opt,winners
10,2,1,IRV,0.42080515397863066,1.0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
10,2,1,SRB,0.4257218363811305,0.8,[0. 0. 0. 0. 0. 0. 1. 0. 0. 1.]
10,2,1,Borda,0.42080515397863066,1.0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
10,2,1,SRC,0.4281801775823803,0.7,[0. 0. 0. 0. 1. 0. 0. 1. 0. 1.]
10,2,1,Plurality,0.42080515397863066,1.0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
10,2,2,IRV,0.4525566610007868,1.0,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
10,2,2,SRB,0.46420853195484774,0.7,[1. 1. 1. 1. 0. 0. 1. 1. 1. 0.]
10,2,2,Borda,0.4525566610007868,1.0,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
10,2,2,SRC,0.47586040290890874,0.4,[0. 0. 0. 1. 0. 1. 0. 1. 0. 1.]
10,2,2,Plurality,0.4525566610007868,1.0,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
10,2,3,IRV,0.43254326064096144,1.0,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
10,2,3,SRB,0.4445452973376768,0.8,[1. 0. 1. 1. 1. 0. 1. 1. 1. 1.]
10,2,3,Borda,0.43254326064096144,1.0,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
10,2,3,SRC,0.4505463156860346,0.7,[1. 0. 1. 1. 0. 1. 0. 1. 1. 1.]
10,2,3,Plurality,0.43254326064096144,1.0,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
10,2,5,IRV,0.39043346394319994,1.0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
10,2,5,SRB,0.39296003186821543,0.7,[0. 0. 0. 1. 0. 1. 0. 0. 1. 0.]
10,2,5,Borda,0.39043346394319994,1.0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
10,2,5,SRC,0.3971709784099079,0.2,[1. 1. 1. 0. 1. 1. 1. 1. 1. 0.]
10,2,5,Plurality,0.39043346394319994,1.0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
10,2,10,IRV,0.21484491277604478,1.0,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
10,2,10,SRB,0.21484491277604478,1.0,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
10,2,10,Borda,0.21484491277604478,1.0,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
10,2,10,SRC,0.24544862776228485,0.4,[0. 1. 0. 1. 1. 0. 1. 0. 0. 0.]
10,2,10,Plurality,0.21484491277604478,1.0,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
10,3,1,IRV,0.3815210819792044,1.0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
10,3,1,SRB,0.5056739009247176,0.4,[0. 2. 2. 0. 0. 2. 0. 1. 2. 2.]
10,3,1,Borda,0.3815210819792044,1.0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
10,3,1,SRC,0.4560921654174659,0.6,[1. 2. 0. 2. 0. 0. 0. 0. 0. 2.]
10,3,1,Plurality,0.3815210819792044,1.0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
10,3,2,IRV,0.4194777156831605,0.0,[2. 2. 2. 2. 2. 2. 2. 2. 2. 2.]
10,3,2,SRB,0.32285318223013715,0.6,[1. 2. 2. 1. 1. 0. 1. 2. 1. 1.]
10,3,2,Borda,0.4126337399904054,0.0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
10,3,2,SRC,0.39869691005094066,0.1,[2. 2. 0. 0. 0. 0. 0. 0. 0. 1.]
10,3,2,Plurality,0.4194777156831605,0.0,[2. 2. 2. 2. 2. 2. 2. 2. 2. 2.]
10,3,3,IRV,0.3847089227164031,0.0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
10,3,3,SRB,0.38248996704021565,0.4,[0. 1. 1. 0. 0. 1. 0. 0. 0. 1.]
10,3,3,Borda,0.3847089227164031,0.0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
10,3,3,SRC,0.3873473993086373,0.4,[0. 0. 2. 1. 0. 1. 1. 0. 1. 0.]
10,3,3,Plurality,0.3847089227164031,0.0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
10,3,5,IRV,0.42293519091308146,0.0,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
10,3,5,SRB,0.411235908456848,0.4,[0. 1. 1. 0. 0. 1. 1. 1. 1. 0.]
10,3,5,Borda,0.42293519091308146,0.0,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
10,3,5,SRC,0.4032088218218206,0.5,[2. 1. 1. 0. 0. 1. 0. 2. 0. 0.]
10,3,5,Plurality,0.42293519091308146,0.0,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
10,3,10,IRV,0.22984272598810893,1.0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
10,3,10,SRB,0.22984272598810893,1.0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
10,3,10,Borda,0.22984272598810893,1.0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
10,3,10,SRC,0.24721388415520446,0.4,[1. 2. 0. 0. 1. 1. 2. 0. 0. 2.]
10,3,10,Plurality,0.22984272598810893,1.0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
10,4,1,IRV,0.4765316129820222,1.0,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
10,4,1,SRB,0.4995128437747104,0.9,[1. 1. 1. 1. 1. 1. 2. 1. 1. 1.]
10,4,1,Borda,0.4765316129820222,1.0,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
10,4,1,SRC,0.5093685408288561,0.4,[0. 3. 1. 0. 1. 3. 1. 2. 1. 0.]
10,4,1,Plurality,0.4765316129820222,1.0,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
10,4,2,IRV,0.43266175248490707,0.0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
10,4,2,SRB,0.4194806455135933,0.4,[1. 1. 0. 3. 0. 3. 3. 1. 0. 1.]
10,4,2,Borda,0.43266175248490707,0.0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
10,4,2,SRC,0.4352463369069797,0.5,[2. 1. 1. 0. 0. 1. 3. 2. 1. 1.]
10,4,2,Plurality,0.43266175248490707,0.0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
10,4,3,IRV,0.34748832771861426,1.0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
